student_code,Course,Section,Year,YearSub,school_code
200660024,972300,1,2018,2017,62
200960131,439070,2,2018,2017,62
201460180,233310,2,2018,2017,60
200960094,43000P,1,2018,2017,62
201460095,222310,4,2018,2017,60
201560035,233310,3,2018,2017,60
201660038,222310,1,2018,2017,60
201760109,233310,2,2018,2017,60
200760165,432000,2,2018,2017,62
201260227,355310,2,2018,2017,61
201762035,43100P,1,2018,2017,62
201060106,38831R,3,2018,2017,61
201760205,200310,1,2018,2017,60
201360050,355310,3,2018,2017,61
201560031,233310,2,2018,2017,60
200760042,972300,2,2018,2017,62
200660040,539901,8,2018,2017,62
201760035,211310,1,2018,2017,60
201560053,233310,3,2018,2017,60
201760019,211310,3,2018,2017,60
201762028,430000,3,2018,2017,62
201760175,200310,1,2018,2017,60
201760027,211310,3,2018,2017,60
201360044,244310,4,2018,2017,60
201460160,222310,1,2018,2017,60
200760013,431000,3,2018,2017,62
201761033,972307,3,2018,2017,61
201660094,211310,3,2018,2017,60
201561040,43100P,1,2018,2017,62
200660047,439070,1,2018,2017,62
200660307,432000,3,2018,2017,62
200760070,388310,3,2018,2017,61
201760177,200310,3,2018,2017,60
201160072,430000,3,2018,2017,62
200660113,431000,2,2018,2017,62
201060154,432000,1,2018,2017,62
201760075,244310,1,2018,2017,60
200960083,43100P,1,2018,2017,62
201060012,388310,1,2018,2017,61
201060001,431000,1,2018,2017,62
201660013,222310,4,2018,2017,60
201060072,432000,2,2018,2017,62
200760096,431000,2,2018,2017,62
201160043,37731R,3,2018,2017,61
200960095,43100P,1,2018,2017,62
201760051,233310,2,2018,2017,60
201761008,366310,2,2018,2017,61
201560033,233310,3,2018,2017,60
201760208,222310,3,2018,2017,60
201560132,233310,3,2018,2017,60
200660179,432000,1,2018,2017,62
201261001,534040,1,2018,2017,62
201560145,37731R,2,2018,2017,61
200760206,388310,2,2018,2017,61
200660303,43200R,1,2018,2017,62
200660177,43200R,1,2018,2017,62
201661004,388310,2,2018,2017,61
201761051,37731R,3,2018,2017,61
201160096,435000,1,2018,2017,62
201660007,222310,1,2018,2017,60
200760255,430000,2,2018,2017,62
